date,name,open,close,high,low,volume
11/8/2018,AMZN,1755,1754.91,1784,1725.11,6534866
11/9/2018,AMZN,1732.5,1712.43,1743.92,1701.87,5902186
11/12/2018,AMZN,1698.24,1636.85,1708.55,1630.01,6806245
11/13/2018,AMZN,1649.29,1631.17,1677.06,1613.75,5933271
11/14/2018,AMZN,1656.32,1599.01,1673,1597.07,6486891
11/15/2018,AMZN,1581.01,1619.44,1624.82,1546.51,8427337
11/16/2018,AMZN,1587.5,1593.41,1614.48,1573.12,6066080
11/19/2018,AMZN,1577.01,1512.29,1581.19,1503.36,7789981
11/20/2018,AMZN,1437.5,1495.46,1534.75,1420,10878823
11/21/2018,AMZN,1542.99,1516.73,1550,1515,5716800
11/23/2018,AMZN,1517,1502.06,1536.2,1501.81,2707642
11/26/2018,AMZN,1539,1581.33,1584.81,1524.22,6257716
11/27/2018,AMZN,1575.99,1581.42,1597.65,1558.01,5783227
11/28/2018,AMZN,1613.92,1677.75,1681.45,1601.22,8458738
11/29/2018,AMZN,1674.99,1673.57,1689.99,1652.33,6613243
11/30/2018,AMZN,1679.5,1690.17,1696,1666.5,5761761
12/3/2018,AMZN,1769.46,1772.36,1778.34,1730,6862160
12/4/2018,AMZN,1756,1668.4,1770.34,1665,8694455
12/6/2018,AMZN,1614.87,1699.19,1701.05,1609.85,8789394
12/7/2018,AMZN,1705.07,1629.13,1718.93,1625.46,7576132
12/10/2018,AMZN,1623.84,1641.03,1657.99,1590.87,7494808
12/11/2018,AMZN,1678,1643.24,1679.47,1619.6,6244695
12/12/2018,AMZN,1669,1663.54,1704.99,1660.27,6597968
12/13/2018,AMZN,1680,1658.38,1692.12,1641.5,5271162
12/14/2018,AMZN,1638,1591.91,1642.57,1585,6367163
12/17/2018,AMZN,1566,1520.91,1576.13,1505.01,8829762
12/18/2018,AMZN,1540,1551.48,1567.55,1523.01,6522975
12/19/2018,AMZN,1543.05,1495.08,1584.53,1483.18,8792189
12/20/2018,AMZN,1484,1460.83,1509.5,1432.69,9991833
12/21/2018,AMZN,1464.99,1377.45,1480,1363.96,13640320
12/24/2018,AMZN,1346,1343.96,1396.03,1307,7219996
12/26/2018,AMZN,1368.89,1470.9,1473.16,1363.01,10411801
12/27/2018,AMZN,1454.2,1461.64,1469,1390.31,9722034
12/28/2018,AMZN,1473.35,1478.02,1513.47,1449,8828950
12/31/2018,AMZN,1510.8,1501.97,1520.76,1487,6954507
